user_name,Repo_name,star,user_repo_url
public-apis,public-apis,203000,https://www.github.com/public-apis/public-apis
neovim,neovim,56400,https://www.github.com/neovim/neovim
tiangolo,fastapi,47900,https://www.github.com/tiangolo/fastapi
strapi,strapi,46600,https://www.github.com/strapi/strapi
hoppscotch,hoppscotch,45400,https://www.github.com/hoppscotch/hoppscotch
slatedocs,slate,34300,https://www.github.com/slatedocs/slate
meilisearch,meilisearch,28300,https://www.github.com/meilisearch/meilisearch
hasura,graphql-engine,27500,https://www.github.com/hasura/graphql-engine
ccxt,ccxt,25300,https://www.github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25100,https://www.github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24700,https://www.github.com/YMFE/yapi
encode,django-rest-framework,23800,https://www.github.com/encode/django-rest-framework
httpie,httpie,22800,https://www.github.com/httpie/httpie
littlecodersh,ItChat,22300,https://www.github.com/littlecodersh/ItChat
Kong,insomnia,21800,https://www.github.com/Kong/insomnia
paularmstrong,normalizr,20900,https://www.github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20300,https://www.github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19900,https://www.github.com/microsoft/api-guidelines
pubkey,rxdb,17800,https://www.github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17500,https://www.github.com/shieldfy/API-Security-Checklist
directus,directus,17100,https://www.github.com/directus/directus
ChainSafe,web3.js,15700,https://www.github.com/ChainSafe/web3.js
learn-anything,learn-anything,14200,https://www.github.com/learn-anything/learn-anything
youfou,wxpy,13300,https://www.github.com/youfou/wxpy
OpenAPITools,openapi-generator,13100,https://www.github.com/OpenAPITools/openapi-generator
jsdoc,jsdoc,13000,https://www.github.com/jsdoc/jsdoc
BrainJS,brain.js,13000,https://www.github.com/BrainJS/brain.js
fangzesheng,free-api,12500,https://www.github.com/fangzesheng/free-api
go-chi,chi,11900,https://www.github.com/go-chi/chi
graphile,postgraphile,11400,https://www.github.com/graphile/postgraphile
