user_name,Repo_name,star,user_repo_url
dotnet,AspNetCore.Docs,10700,https://www.github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10500,https://www.github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10200,https://www.github.com/bitwarden/server
abpframework,abp,8400,https://www.github.com/abpframework/abp
nopSolutions,nopCommerce,7400,https://www.github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6400,https://www.github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5300,https://www.github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,5200,https://www.github.com/thangchung/clean-code-dotnet
smartstore,SmartStoreNET,2500,https://www.github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://www.github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2300,https://www.github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,https://www.github.com/serenity-is/Serenity
loic-sharma,BaGet,2100,https://www.github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1900,https://www.github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://www.github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://www.github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://www.github.com/MarimerLLC/csla
riganti,dotvvm,619,https://www.github.com/riganti/dotvvm
antonioCoco,SharPyShell,617,https://www.github.com/antonioCoco/SharPyShell
cornflourblue,aspnet-core-3-jwt-authentication-api,616,https://www.github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,575,https://www.github.com/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,462,https://www.github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,450,https://www.github.com/brthor/Gofer.NET
YAFNET,YAFNET,434,https://www.github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,411,https://www.github.com/IvanJosipovic/BlazorTable
SapphireDb,SapphireDb,385,https://www.github.com/SapphireDb/SapphireDb
Maarten88,rrod,379,https://www.github.com/Maarten88/rrod
Taritsyn,WebMarkupMin,377,https://www.github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,374,https://www.github.com/chsakell/aspnet-core-identity
smartstore,Smartstore,365,https://www.github.com/smartstore/Smartstore
