user_name,Repo_name,star,user_repo_url
ljianshu,Blog,7200,https://www.github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,https://www.github.com/metafizzy/infinite-scroll
developit,unfetch,5400,https://www.github.com/developit/unfetch
jquery-form,form,5100,https://www.github.com/jquery-form/form
olifolkerd,tabulator,4800,https://www.github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,https://www.github.com/Studio-42/elFinder
ded,reqwest,2900,https://www.github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://www.github.com/elbywan/wretch
LeaVerou,bliss,2400,https://www.github.com/LeaVerou/bliss
wendux,ajax-hook,2100,https://www.github.com/wendux/ajax-hook
yisainan,web-interview,2100,https://www.github.com/yisainan/web-interview
noelboss,featherlight,2100,https://www.github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://www.github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,https://www.github.com/ptaoussanis/sente
nette,tracy,1500,https://www.github.com/nette/tracy
joaomilho,Enterprise,1500,https://www.github.com/joaomilho/Enterprise
loadingio,css-spinner,1400,https://www.github.com/loadingio/css-spinner
u014427391,jeeplatform,1400,https://www.github.com/u014427391/jeeplatform
MoOx,pjax,1300,https://www.github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1300,https://www.github.com/codingforentrepreneurs/eCommerce
k8w,tsrpc,1200,https://www.github.com/k8w/tsrpc
danielm,uploader,1100,https://www.github.com/danielm/uploader
swlib,saber,963,https://www.github.com/swlib/saber
proyecto26,RestClient,959,https://www.github.com/proyecto26/RestClient
opensource-socialnetwork,opensource-socialnetwork,881,https://www.github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,864,https://www.github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,711,https://www.github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,612,https://www.github.com/csxiaoyaojianxian/JavaScriptStudy
karosLi,KKJSBridge,595,https://www.github.com/karosLi/KKJSBridge
