user_name,Repo_name,star,user_repo_url
jwasham,coding-interview-university,228000,https://www.github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,155000,https://www.github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,147000,https://www.github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,141000,https://www.github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,75500,https://www.github.com/yangshun/tech-interview-handbook
kdn251,interviews,57800,https://www.github.com/kdn251/interviews
azl397985856,leetcode,48900,https://www.github.com/azl397985856/leetcode
TheAlgorithms,Java,47100,https://www.github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,38400,https://www.github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,30100,https://www.github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26800,https://www.github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26200,https://www.github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,25900,https://www.github.com/donnemartin/interactive-coding-challenges
huihut,interview,25200,https://www.github.com/huihut/interview
TheAlgorithms,JavaScript,21500,https://www.github.com/TheAlgorithms/JavaScript
keon,algorithms,21400,https://www.github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,20300,https://www.github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19500,https://www.github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,19500,https://www.github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15800,https://www.github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13600,https://www.github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,13200,https://www.github.com/williamfiset/Algorithms
OpenGenus,cosmos,13100,https://www.github.com/OpenGenus/cosmos
halfrost,Halfrost-Field,11300,https://www.github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://www.github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,10000,https://www.github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,https://www.github.com/Blankj/awesome-java-leetcode
gyoogle,tech-interview-for-developer,7800,https://www.github.com/gyoogle/tech-interview-for-developer
jeffgerickson,algorithms,7600,https://www.github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7500,https://www.github.com/mgechev/javascript-algorithms
