user_name,Repo_name,star,user_repo_url
amphp,amp,3700,https://www.github.com/amphp/amp
danog,MadelineProto,2000,https://www.github.com/danog/MadelineProto
amphp,http-server,1200,https://www.github.com/amphp/http-server
unreal4u,telegram-api,725,https://www.github.com/unreal4u/telegram-api
amphp,http-client,620,https://www.github.com/amphp/http-client
amphp,parallel,591,https://www.github.com/amphp/parallel
php-service-bus,service-bus,324,https://www.github.com/php-service-bus/service-bus
amphp,byte-stream,298,https://www.github.com/amphp/byte-stream
amphp,mysql,281,https://www.github.com/amphp/mysql
amphp,parallel-functions,228,https://www.github.com/amphp/parallel-functions
amphp,process,186,https://www.github.com/amphp/process
amphp,socket,168,https://www.github.com/amphp/socket
amphp,dns,123,https://www.github.com/amphp/dns
amphp,redis,129,https://www.github.com/amphp/redis
amphp,sync,115,https://www.github.com/amphp/sync
kelunik,acme,112,https://www.github.com/kelunik/acme
amphp,websocket-client,106,https://www.github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://www.github.com/PeeHaa/mailgrab
amphp,websocket-server,81,https://www.github.com/amphp/websocket-server
amphp,serialization,79,https://www.github.com/amphp/serialization
jolicode,asynit,74,https://www.github.com/jolicode/asynit
amphp,windows-registry,74,https://www.github.com/amphp/windows-registry
amphp,hpack,73,https://www.github.com/amphp/hpack
amphp,file,74,https://www.github.com/amphp/file
amphp,cache,78,https://www.github.com/amphp/cache
amphp,postgres,65,https://www.github.com/amphp/postgres
amphp,beanstalk,59,https://www.github.com/amphp/beanstalk
phpinnacle,ridge,47,https://www.github.com/phpinnacle/ridge
amphp,aerys,45,https://www.github.com/amphp/aerys
wind-framework,wind-framework,42,https://www.github.com/wind-framework/wind-framework
