user_name,Repo_name,star,user_repo_url
flutter,flutter,143000,https://www.github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,94700,https://www.github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,68400,https://www.github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,54000,https://www.github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46200,https://www.github.com/google/material-design-icons
wasabeef,awesome-android-ui,43400,https://www.github.com/wasabeef/awesome-android-ui
square,okhttp,42600,https://www.github.com/square/okhttp
Solido,awesome-flutter,42000,https://www.github.com/Solido/awesome-flutter
android,architecture-samples,41200,https://www.github.com/android/architecture-samples
square,retrofit,40300,https://www.github.com/square/retrofit
dcloudio,uni-app,36900,https://www.github.com/dcloudio/uni-app
fastlane,fastlane,35600,https://www.github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35400,https://www.github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33100,https://www.github.com/airbnb/lottie-android
bumptech,glide,32800,https://www.github.com/bumptech/glide
shadowsocks,shadowsocks-android,32700,https://www.github.com/shadowsocks/shadowsocks-android
Blankj,AndroidUtilCode,31200,https://www.github.com/Blankj/AndroidUtilCode
skylot,jadx,31100,https://www.github.com/skylot/jadx
xitu,gold-miner,31000,https://www.github.com/xitu/gold-miner
Trinea,android-open-project,31000,https://www.github.com/Trinea/android-open-project
laurent22,joplin,31000,https://www.github.com/laurent22/joplin
bilibili,ijkplayer,30600,https://www.github.com/bilibili/ijkplayer
zxing,zxing,29900,https://www.github.com/zxing/zxing
codepath,android_guides,27900,https://www.github.com/codepath/android_guides
square,leakcanary,27700,https://www.github.com/square/leakcanary
alibaba,fastjson,24800,https://www.github.com/alibaba/fastjson
appwrite,appwrite,24000,https://www.github.com/appwrite/appwrite
scwang90,SmartRefreshLayout,23700,https://www.github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,23000,https://www.github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22600,https://www.github.com/react-native-elements/react-native-elements
