user_name,Repo_name,star,user_repo_url
justjavac,free-programming-books-zh_CN,94700,https://www.github.com/justjavac/free-programming-books-zh_CN
angular,angular,83000,https://www.github.com/angular/angular
storybookjs,storybook,73100,https://www.github.com/storybookjs/storybook
leonardomso,33-js-concepts,50600,https://www.github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47700,https://www.github.com/ionic-team/ionic-framework
prettier,prettier,43500,https://www.github.com/prettier/prettier
SheetJS,sheetjs,30900,https://www.github.com/SheetJS/sheetjs
angular,angular-cli,25500,https://www.github.com/angular/angular-cli
angular,components,22900,https://www.github.com/angular/components
NativeScript,NativeScript,21500,https://www.github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19800,https://www.github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,18600,https://www.github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17800,https://www.github.com/pubkey/rxdb
handsontable,handsontable,16900,https://www.github.com/handsontable/handsontable
teambit,bit,15600,https://www.github.com/teambit/bit
sweetalert2,sweetalert2,14800,https://www.github.com/sweetalert2/sweetalert2
nrwl,nx,13900,https://www.github.com/nrwl/nx
linnovate,mean,12200,https://www.github.com/linnovate/mean
codesandbox,codesandbox-client,11700,https://www.github.com/codesandbox/codesandbox-client
sudheerj,javascript-interview-questions,11200,https://www.github.com/sudheerj/javascript-interview-questions
Chocobozzz,PeerTube,10900,https://www.github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://www.github.com/PatrickJS/angular-starter
wailsapp,wails,10200,https://www.github.com/wailsapp/wails
jasontaylordev,CleanArchitecture,9200,https://www.github.com/jasontaylordev/CleanArchitecture
dotansimha,graphql-code-generator,9000,https://www.github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,9000,https://www.github.com/ag-grid/ag-grid
angular,protractor,8800,https://www.github.com/angular/protractor
OnsenUI,OnsenUI,8600,https://www.github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8400,https://www.github.com/PatrickJS/awesome-angular
abpframework,abp,8400,https://www.github.com/abpframework/abp
