user_name,Repo_name,star,user_repo_url
ansible,ansible,54000,https://www.github.com/ansible/ansible
bregman-arie,devops-exercises,28100,https://www.github.com/bregman-arie/devops-exercises
trailofbits,algo,25900,https://www.github.com/trailofbits/algo
StreisandEffect,streisand,22800,https://www.github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,16200,https://www.github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12600,https://www.github.com/kubernetes-sigs/kubespray
ansible,awx,11200,https://www.github.com/ansible/awx
easzlab,kubeasz,8400,https://www.github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6000,https://www.github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6000,https://www.github.com/khuedoan/homelab
ansible-semaphore,semaphore,5100,https://www.github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,5100,https://www.github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4700,https://www.github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4600,https://www.github.com/rundeck/rundeck
KubeOperator,KubeOperator,4400,https://www.github.com/KubeOperator/KubeOperator
clong,DetectionLab,3800,https://www.github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3500,https://www.github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3400,https://www.github.com/ansible-community/molecule
werf,werf,3300,https://www.github.com/werf/werf
opendevops-cn,opendevops,3200,https://www.github.com/opendevops-cn/opendevops
litmuschaos,litmus,3100,https://www.github.com/litmuschaos/litmus
welliamcao,OpsManage,3000,https://www.github.com/welliamcao/OpsManage
ansible,ansible-lint,2900,https://www.github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,https://www.github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2800,https://www.github.com/alixaxel/chrome-aws-lambda
roots,trellis,2300,https://www.github.com/roots/trellis
ansistrano,deploy,2200,https://www.github.com/ansistrano/deploy
fboender,ansible-cmdb,2100,https://www.github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2100,https://www.github.com/pytest-dev/pytest-testinfra
openshift,openshift-ansible,2100,https://www.github.com/openshift/openshift-ansible
