user_name,Repo_name,star,user_repo_url
arendst,Tasmota,18000,https://www.github.com/arendst/Tasmota
MarlinFirmware,Marlin,13500,https://www.github.com/MarlinFirmware/Marlin
arduino,Arduino,13000,https://www.github.com/arduino/Arduino
rwaldron,johnny-five,12700,https://www.github.com/rwaldron/johnny-five
tinygo-org,tinygo,11300,https://www.github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10200,https://www.github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9100,https://www.github.com/espressif/arduino-esp32
hybridgroup,gobot,7800,https://www.github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7700,https://www.github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6000,https://www.github.com/platformio/platformio-core
bblanchon,ArduinoJson,5700,https://www.github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5300,https://www.github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://www.github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3700,https://www.github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3500,https://www.github.com/arduino/arduino-cli
blynkkk,blynk-library,3500,https://www.github.com/blynkkk/blynk-library
NectarJS,nectarjs,3300,https://www.github.com/NectarJS/nectarjs
olikraus,u8g2,3200,https://www.github.com/olikraus/u8g2
ClemensElflein,OpenMower,3200,https://www.github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2800,https://www.github.com/Serial-Studio/Serial-Studio
1technophile,OpenMQTTGateway,2700,https://www.github.com/1technophile/OpenMQTTGateway
scottbez1,splitflap,2400,https://www.github.com/scottbez1/splitflap
scottlawsonbc,audio-reactive-led-strip,2400,https://www.github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2200,https://www.github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2200,https://www.github.com/crankyoldgit/IRremoteESP8266
Bodmer,TFT_eSPI,2000,https://www.github.com/Bodmer/TFT_eSPI
stm32duino,Arduino_Core_STM32,2000,https://www.github.com/stm32duino/Arduino_Core_STM32
nRF24,RF24,1900,https://www.github.com/nRF24/RF24
blinker-iot,blinker-library,1900,https://www.github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,https://www.github.com/ThingPulse/esp8266-oled-ssd1306
