user_name,Repo_name,star,user_repo_url
atom,atom,58300,https://www.github.com/atom/atom
themerdev,themer,4800,https://www.github.com/themerdev/themer
nteract,hydrogen,3800,https://www.github.com/nteract/hydrogen
miniflux,v2,3800,https://www.github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3700,https://www.github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://www.github.com/atom/teletype
mmcdole,gofeed,1900,https://www.github.com/mmcdole/gofeed
mehcode,awesome-atom,1900,https://www.github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://www.github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://www.github.com/Glavin001/atom-beautify
simplepie,simplepie,1500,https://www.github.com/simplepie/simplepie
kurtmckee,feedparser,1400,https://www.github.com/kurtmckee/feedparser
ocaml,merlin,1400,https://www.github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1400,https://www.github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1300,https://www.github.com/MagicStack/MagicPython
atom,apm,1300,https://www.github.com/atom/apm
file-icons,atom,1200,https://www.github.com/file-icons/atom
kettanaito,atomic-layout,1100,https://www.github.com/kettanaito/atomic-layout
atom,github,1000,https://www.github.com/atom/github
nmdias,FeedKit,1000,https://www.github.com/nmdias/FeedKit
fwcd,kotlin-language-server,976,https://www.github.com/fwcd/kotlin-language-server
nathanbuchar,atom-one-dark-terminal,974,https://www.github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,925,https://www.github.com/danhper/atomic-chrome
jesseweed,seti-ui,903,https://www.github.com/jesseweed/seti-ui
jpmonette,feed,816,https://www.github.com/jpmonette/feed
feeddd,feeds,807,https://www.github.com/feeddd/feeds
prettier,prettier-atom,779,https://www.github.com/prettier/prettier-atom
raphamorim,lucario,750,https://www.github.com/raphamorim/lucario
martinrotter,rssguard,740,https://www.github.com/martinrotter/rssguard
atom-community,atom-script,740,https://www.github.com/atom-community/atom-script
