user_name,Repo_name,star,user_repo_url
sindresorhus,awesome,213000,https://www.github.com/sindresorhus/awesome
vinta,awesome-python,136000,https://www.github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,97300,https://www.github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,85100,https://www.github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,74100,https://www.github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,63200,https://www.github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,57900,https://www.github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,54000,https://www.github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,51800,https://www.github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,48400,https://www.github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,45900,https://www.github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43400,https://www.github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,42200,https://www.github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,42000,https://www.github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,41700,https://www.github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,40100,https://www.github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,39900,https://www.github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,39000,https://www.github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36100,https://www.github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34700,https://www.github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,33000,https://www.github.com/akullpp/awesome-java
brillout,awesome-react-components,31500,https://www.github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,31400,https://www.github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,31100,https://www.github.com/dkhamsing/open-source-ios-apps
rust-unofficial,awesome-rust,27500,https://www.github.com/rust-unofficial/awesome-rust
ziadoz,awesome-php,27000,https://www.github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,26000,https://www.github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,25600,https://www.github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,24300,https://www.github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,23100,https://www.github.com/sindresorhus/awesome-electron
