user_name,Repo_name,star,user_repo_url
bregman-arie,devops-exercises,28100,https://www.github.com/bregman-arie/devops-exercises
microsoft,recommenders,13700,https://www.github.com/microsoft/recommenders
pulumi,pulumi,13200,https://www.github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13000,https://www.github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12000,https://www.github.com/Azure/azure-quickstart-templates
mozilla,sops,10400,https://www.github.com/mozilla/sops
caprover,caprover,8900,https://www.github.com/caprover/caprover
microsoft,computervision-recipes,8600,https://www.github.com/microsoft/computervision-recipes
google,go-cloud,8500,https://www.github.com/google/go-cloud
infracost,infracost,7600,https://www.github.com/infracost/infracost
microsoft,azuredatastudio,6900,https://www.github.com/microsoft/azuredatastudio
node-formidable,formidable,6300,https://www.github.com/node-formidable/formidable
midwayjs,midway,5900,https://www.github.com/midwayjs/midway
thangchung,clean-code-dotnet,5200,https://www.github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4800,https://www.github.com/aquasecurity/tfsec
budtmo,docker-android,4700,https://www.github.com/budtmo/docker-android
nccgroup,ScoutSuite,4500,https://www.github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,4500,https://www.github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,4300,https://www.github.com/cloud-custodian/cloud-custodian
Azure,autorest,3900,https://www.github.com/Azure/autorest
Azure,azure-sdk-for-net,3900,https://www.github.com/Azure/azure-sdk-for-net
simov,grant,3700,https://www.github.com/simov/grant
hashicorp,terraform-provider-azurerm,3500,https://www.github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3400,https://www.github.com/microsoft/SynapseML
Azure,MachineLearningNotebooks,3300,https://www.github.com/Azure/MachineLearningNotebooks
Azure,azure-powershell,3200,https://www.github.com/Azure/azure-powershell
sottlmarek,DevSecOps,3200,https://www.github.com/sottlmarek/DevSecOps
Azure,azure-cli,3200,https://www.github.com/Azure/azure-cli
learntocloud,learn-to-cloud,2900,https://www.github.com/learntocloud/learn-to-cloud
Azure,azure-sdk-for-python,2900,https://www.github.com/Azure/azure-sdk-for-python
