user_name,Repo_name,star,user_repo_url
jlevy,the-art-of-command-line,109000,https://www.github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,59900,https://www.github.com/nvm-sh/nvm
junegunn,fzf,46000,https://www.github.com/junegunn/fzf
google,zx,33500,https://www.github.com/google/zx
dylanaraps,pure-bash-bible,31500,https://www.github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29800,https://www.github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29500,https://www.github.com/koalaman/shellcheck
mathiasbynens,dotfiles,28100,https://www.github.com/mathiasbynens/dotfiles
starship,starship,27700,https://www.github.com/starship/starship
acmesh-official,acme.sh,27500,https://www.github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24300,https://www.github.com/alebcay/awesome-shell
withfig,autocomplete,19600,https://www.github.com/withfig/autocomplete
jaywcjlove,linux-command,19400,https://www.github.com/jaywcjlove/linux-command
dylanaraps,neofetch,15800,https://www.github.com/dylanaraps/neofetch
Nyr,openvpn-install,15400,https://www.github.com/Nyr/openvpn-install
rbenv,rbenv,14300,https://www.github.com/rbenv/rbenv
powerline,powerline,13400,https://www.github.com/powerline/powerline
shelljs,shelljs,13400,https://www.github.com/shelljs/shelljs
Bash-it,bash-it,13100,https://www.github.com/Bash-it/bash-it
faressoft,terminalizer,12800,https://www.github.com/faressoft/terminalizer
jessfraz,dockerfiles,12700,https://www.github.com/jessfraz/dockerfiles
denisidoro,navi,11500,https://www.github.com/denisidoro/navi
carlospolop,PEASS-ng,9700,https://www.github.com/carlospolop/PEASS-ng
codota,TabNine,9300,https://www.github.com/codota/TabNine
direnv,direnv,9300,https://www.github.com/direnv/direnv
skywind3000,awesome-cheatsheets,9100,https://www.github.com/skywind3000/awesome-cheatsheets
rgcr,m-cli,9000,https://www.github.com/rgcr/m-cli
kanaka,mal,8800,https://www.github.com/kanaka/mal
alexanderepstein,Bash-Snippets,8800,https://www.github.com/alexanderepstein/Bash-Snippets
extrawurst,gitui,8600,https://www.github.com/extrawurst/gitui
