user_name,Repo_name,star,user_repo_url
bitcoin,bitcoin,65500,https://www.github.com/bitcoin/bitcoin
ccxt,ccxt,25300,https://www.github.com/ccxt/ccxt
freqtrade,freqtrade,18700,https://www.github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17600,https://www.github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://www.github.com/askmike/gekko
bbfamily,abu,9200,https://www.github.com/bbfamily/abu
solana-labs,solana,9200,https://www.github.com/solana-labs/solana
lbryio,lbry-sdk,7100,https://www.github.com/lbryio/lbry-sdk
dvf,blockchain,7000,https://www.github.com/dvf/blockchain
lightningnetwork,lnd,6200,https://www.github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6200,https://www.github.com/yeasy/blockchain_guide
spesmilo,electrum,5800,https://www.github.com/spesmilo/electrum
butor,blackbird,5600,https://www.github.com/butor/blackbird
btcsuite,btcd,4900,https://www.github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4700,https://www.github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4400,https://www.github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4100,https://www.github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4100,https://www.github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4100,https://www.github.com/bisq-network/bisq
coinpride,CryptoList,3800,https://www.github.com/coinpride/CryptoList
michaelgrosner,tribeca,3700,https://www.github.com/michaelgrosner/tribeca
Scanate,EthList,3700,https://www.github.com/Scanate/EthList
RomelTorres,alpha_vantage,3700,https://www.github.com/RomelTorres/alpha_vantage
btcpayserver,btcpayserver,3700,https://www.github.com/btcpayserver/btcpayserver
Zheaoli,awesome-coins,3600,https://www.github.com/Zheaoli/awesome-coins
bitpay,wallet,3500,https://www.github.com/bitpay/wallet
Jeiwan,blockchain_go,3500,https://www.github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3300,https://www.github.com/cointop-sh/cointop
SqueezerIO,squeezer,3300,https://www.github.com/SqueezerIO/squeezer
bitcoin-wallet,bitcoin-wallet,2900,https://www.github.com/bitcoin-wallet/bitcoin-wallet
