user_name,Repo_name,star,user_repo_url
ccxt,ccxt,25300,https://www.github.com/ccxt/ccxt
discordjs,discord.js,20300,https://www.github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,19300,https://www.github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16200,https://www.github.com/hubotio/hubot
RasaHQ,rasa,14600,https://www.github.com/RasaHQ/rasa
InstaPy,InstaPy,14500,https://www.github.com/InstaPy/InstaPy
wechaty,wechaty,13100,https://www.github.com/wechaty/wechaty
gunthercox,ChatterBot,12400,https://www.github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11600,https://www.github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,11100,https://www.github.com/Rapptz/discord.py
howdyai,botkit,10800,https://www.github.com/howdyai/botkit
botpress,botpress,9800,https://www.github.com/botpress/botpress
sfyc23,EverydayWechat,9000,https://www.github.com/sfyc23/EverydayWechat
leon-ai,leon,8900,https://www.github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,7300,https://www.github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7100,https://www.github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,https://www.github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6800,https://www.github.com/microsoft/botframework-sdk
yagop,node-telegram-bot-api,6400,https://www.github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6100,https://www.github.com/maxbbraun/trump2cash
telegraf,telegraf,5900,https://www.github.com/telegraf/telegraf
deepmipt,DeepPavlov,5800,https://www.github.com/deepmipt/DeepPavlov
botman,botman,5700,https://www.github.com/botman/botman
Mrs4s,go-cqhttp,5500,https://www.github.com/Mrs4s/go-cqhttp
axa-group,nlp.js,5000,https://www.github.com/axa-group/nlp.js
jef,streetmerchant,4800,https://www.github.com/jef/streetmerchant
BotsAppOfficial,BotsApp,4700,https://www.github.com/BotsAppOfficial/BotsApp
ohld,igbot,4200,https://www.github.com/ohld/igbot
jesse-ai,jesse,4100,https://www.github.com/jesse-ai/jesse
orkestral,venom,4000,https://www.github.com/orkestral/venom
