user_name,Repo_name,star,user_repo_url
CyC2018,CS-Notes,155000,https://www.github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,74200,https://www.github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48900,https://www.github.com/azl397985856/leetcode
fffaraz,awesome-cpp,39000,https://www.github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,38800,https://www.github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,30100,https://www.github.com/youngyangyang04/leetcode-master
microsoft,calculator,25300,https://www.github.com/microsoft/calculator
huihut,interview,25200,https://www.github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24600,https://www.github.com/CMU-Perceptual-Computing-Lab/openpose
carbon-language,carbon-lang,23900,https://www.github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,21100,https://www.github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20300,https://www.github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18200,https://www.github.com/changkun/modern-cpp-tutorial
ethereum,solidity,17700,https://www.github.com/ethereum/solidity
microsoft,vcpkg,16300,https://www.github.com/microsoft/vcpkg
catchorg,Catch2,15400,https://www.github.com/catchorg/Catch2
gabime,spdlog,15200,https://www.github.com/gabime/spdlog
doocs,leetcode,15100,https://www.github.com/doocs/leetcode
AnthonyCalandra,modern-cpp-features,14500,https://www.github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14300,https://www.github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13900,https://www.github.com/Qv2ray/Qv2ray
facebook,infer,13400,https://www.github.com/facebook/infer
CoatiSoftware,Sourcetrail,12800,https://www.github.com/CoatiSoftware/Sourcetrail
antlr,antlr4,12700,https://www.github.com/antlr/antlr4
google,tink,12500,https://www.github.com/google/tink
kyleneideck,BackgroundMusic,11800,https://www.github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,11300,https://www.github.com/compiler-explorer/compiler-explorer
SFTtech,openage,11100,https://www.github.com/SFTtech/openage
polybar,polybar,11000,https://www.github.com/polybar/polybar
OpenRCT2,OpenRCT2,10800,https://www.github.com/OpenRCT2/OpenRCT2
