user_name,Repo_name,star,user_repo_url
iamadamdev,bypass-paywalls-chrome,28000,https://www.github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19400,https://www.github.com/jaywcjlove/linux-command
refined-github,refined-github,18400,https://www.github.com/refined-github/refined-github
darkreader,darkreader,14600,https://www.github.com/darkreader/darkreader
checkly,headless-recorder,14400,https://www.github.com/checkly/headless-recorder
unbug,codelf,13000,https://www.github.com/unbug/codelf
Anarios,return-youtube-dislike,9700,https://www.github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9500,https://www.github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8900,https://www.github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8700,https://www.github.com/listen1/listen1_chrome_extension
dailydotdev,daily,7900,https://www.github.com/dailydotdev/daily
appbaseio,dejavu,7900,https://www.github.com/appbaseio/dejavu
alyssaxuu,screenity,7400,https://www.github.com/alyssaxuu/screenity
Kenshin,simpread,6100,https://www.github.com/Kenshin/simpread
ajayyy,SponsorBlock,5200,https://www.github.com/ajayyy/SponsorBlock
AutomaApp,automa,5100,https://www.github.com/AutomaApp/automa
alyssaxuu,omni,5000,https://www.github.com/alyssaxuu/omni
dessant,buster,5000,https://www.github.com/dessant/buster
manojVivek,medium-unlimited,4900,https://www.github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4400,https://www.github.com/webclipper/web-clipper
altair-graphql,altair,4300,https://www.github.com/altair-graphql/altair
zxlie,FeHelper,4200,https://www.github.com/zxlie/FeHelper
openstyles,stylus,4000,https://www.github.com/openstyles/stylus
PlasmoHQ,plasmo,4000,https://www.github.com/PlasmoHQ/plasmo
bilibili-helper,bilibili-helper-o,3800,https://www.github.com/bilibili-helper/bilibili-helper-o
hcfyapp,crx-selection-translate,3700,https://www.github.com/hcfyapp/crx-selection-translate
dejan,rails_panel,3700,https://www.github.com/dejan/rails_panel
ronggang,PT-Plugin-Plus,3600,https://www.github.com/ronggang/PT-Plugin-Plus
LasCC,Hack-Tools,3600,https://www.github.com/LasCC/Hack-Tools
honestbleeps,Reddit-Enhancement-Suite,3500,https://www.github.com/honestbleeps/Reddit-Enhancement-Suite
