user_name,Repo_name,star,user_repo_url
electron,electron,103000,https://www.github.com/electron/electron
puppeteer,puppeteer,79200,https://www.github.com/puppeteer/puppeteer
microsoft,playwright,40600,https://www.github.com/microsoft/playwright
FiloSottile,mkcert,36200,https://www.github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,28000,https://www.github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22100,https://www.github.com/ovity/octotree
jaywcjlove,linux-command,19400,https://www.github.com/jaywcjlove/linux-command
segmentio,nightmare,19200,https://www.github.com/segmentio/nightmare
checkly,headless-recorder,14400,https://www.github.com/checkly/headless-recorder
google,WebFundamentals,13400,https://www.github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://www.github.com/prisma-archive/chromeless
casesandberg,react-color,10800,https://www.github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10400,https://www.github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9500,https://www.github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8900,https://www.github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8400,https://www.github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,https://www.github.com/uBlock-LLC/uBlock
chromedp,chromedp,7900,https://www.github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6700,https://www.github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6200,https://www.github.com/kangvcar/InfoSpider
Kenshin,simpread,6100,https://www.github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5300,https://www.github.com/yujiosaka/headless-chrome-crawler
ajayyy,SponsorBlock,5200,https://www.github.com/ajayyy/SponsorBlock
MontFerret,ferret,5000,https://www.github.com/MontFerret/ferret
alyssaxuu,omni,5000,https://www.github.com/alyssaxuu/omni
moonD4rk,HackBrowserData,5000,https://www.github.com/moonD4rk/HackBrowserData
themerdev,themer,4800,https://www.github.com/themerdev/themer
browserless,chrome,4700,https://www.github.com/browserless/chrome
firefox-devtools,debugger,4600,https://www.github.com/firefox-devtools/debugger
burtonator,polar-bookshelf,4500,https://www.github.com/burtonator/polar-bookshelf
