user_name,Repo_name,star,user_repo_url
metabase,metabase,29300,https://www.github.com/metabase/metabase
logseq,logseq,15700,https://www.github.com/logseq/logseq
eclipse,deeplearning4j,12600,https://www.github.com/eclipse/deeplearning4j
LightTable,LightTable,11700,https://www.github.com/LightTable/LightTable
penpot,penpot,10800,https://www.github.com/penpot/penpot
kanaka,mal,8800,https://www.github.com/kanaka/mal
lk-geimfari,awesomo,8500,https://www.github.com/lk-geimfari/awesomo
tonsky,datascript,4800,https://www.github.com/tonsky/datascript
reagent-project,reagent,4500,https://www.github.com/reagent-project/reagent
riemann,riemann,4100,https://www.github.com/riemann/riemann
weavejester,compojure,3900,https://www.github.com/weavejester/compojure
bbatsov,clojure-style-guide,3800,https://www.github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3700,https://www.github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,3500,https://www.github.com/status-im/status-mobile
ring-clojure,ring,3500,https://www.github.com/ring-clojure/ring
clojure-emacs,cider,3300,https://www.github.com/clojure-emacs/cider
viebel,klipse,3000,https://www.github.com/viebel/klipse
bhauman,lein-figwheel,2900,https://www.github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2900,https://www.github.com/tallesl/Rich-Hickey-fanclub
babashka,babashka,2900,https://www.github.com/babashka/babashka
twosigma,beakerx,2600,https://www.github.com/twosigma/beakerx
pedestal,pedestal,2500,https://www.github.com/pedestal/pedestal
weavejester,hiccup,2400,https://www.github.com/weavejester/hiccup
clj-commons,aleph,2400,https://www.github.com/clj-commons/aleph
razum2um,awesome-clojure,2400,https://www.github.com/razum2um/awesome-clojure
http-kit,http-kit,2300,https://www.github.com/http-kit/http-kit
defold,defold,2200,https://www.github.com/defold/defold
onyx-platform,onyx,2000,https://www.github.com/onyx-platform/onyx
anmonteiro,lumo,1900,https://www.github.com/anmonteiro/lumo
boot-clj,boot,1700,https://www.github.com/boot-clj/boot
