user_name,Repo_name,star,user_repo_url
realm,SwiftLint,16400,https://www.github.com/realm/SwiftLint
facebook,infer,13400,https://www.github.com/facebook/infer
analysis-tools-dev,static-analysis,10100,https://www.github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,7700,https://www.github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7200,https://www.github.com/checkstyle/checkstyle
SonarSource,sonarqube,7000,https://www.github.com/SonarSource/sonarqube
facebook,pyre-check,6000,https://www.github.com/facebook/pyre-check
reviewdog,reviewdog,5300,https://www.github.com/reviewdog/reviewdog
detekt,detekt,4700,https://www.github.com/detekt/detekt
simplecov-ruby,simplecov,4500,https://www.github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4200,https://www.github.com/import-js/eslint-plugin-import
PyCQA,pylint,4100,https://www.github.com/PyCQA/pylint
pmd,pmd,3900,https://www.github.com/pmd/pmd
phpro,grumphp,3800,https://www.github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3500,https://www.github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2800,https://www.github.com/htmlhint/HTMLHint
kucherenko,jscpd,2700,https://www.github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://www.github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,https://www.github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://www.github.com/uber/piranha
ehmicky,cross-platform-node-guide,1300,https://www.github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1200,https://www.github.com/Tencent/feflow
Tencent,CodeAnalysis,1200,https://www.github.com/Tencent/CodeAnalysis
urish,typewiz,1100,https://www.github.com/urish/typewiz
jakzal,phpqa,1000,https://www.github.com/jakzal/phpqa
imgbot,Imgbot,940,https://www.github.com/imgbot/Imgbot
sourcery-ai,sourcery,896,https://www.github.com/sourcery-ai/sourcery
joshuaclayton,unused,870,https://www.github.com/joshuaclayton/unused
SonarSource,SonarJS,839,https://www.github.com/SonarSource/SonarJS
pdepend,pdepend,812,https://www.github.com/pdepend/pdepend
