user_name,Repo_name,star,user_repo_url
ovity,octotree,22100,https://www.github.com/ovity/octotree
gitpod-io,gitpod,8700,https://www.github.com/gitpod-io/gitpod
reviewdog,reviewdog,5300,https://www.github.com/reviewdog/reviewdog
danger,danger,4900,https://www.github.com/danger/danger
danger,danger-js,4500,https://www.github.com/danger/danger-js
joho,awesome-code-review,3500,https://www.github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://www.github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://www.github.com/microsoft/vscode-pull-request-github
mbj,mutant,1900,https://www.github.com/mbj/mutant
crev-dev,cargo-crev,1700,https://www.github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://www.github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1200,https://www.github.com/ryanmcdermott/code-review-tips
Tencent,CodeAnalysis,1200,https://www.github.com/Tencent/CodeAnalysis
bit4woo,python_sec,1100,https://www.github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1100,https://www.github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,845,https://www.github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,811,https://www.github.com/TeamCodeStream/codestream
enlightn,enlightn,674,https://www.github.com/enlightn/enlightn
palantir,policy-bot,506,https://www.github.com/palantir/policy-bot
bsamseth,cpp-project,488,https://www.github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,450,https://www.github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,447,https://www.github.com/mookid/diffr
mgreiler,code-review-checklist,445,https://www.github.com/mgreiler/code-review-checklist
JetBrains,Qodana,351,https://www.github.com/JetBrains/Qodana
wandersoncferreira,code-review,333,https://www.github.com/wandersoncferreira/code-review
dpnishant,raptor,329,https://www.github.com/dpnishant/raptor
sjparkinson,static-review,327,https://www.github.com/sjparkinson/static-review
burrito-brothers,shiba,291,https://www.github.com/burrito-brothers/shiba
charignon,github-review,286,https://www.github.com/charignon/github-review
watermelontools,wm-extension,277,https://www.github.com/watermelontools/wm-extension
