user_name,Repo_name,star,user_repo_url
ohmyzsh,ohmyzsh,148000,https://www.github.com/ohmyzsh/ohmyzsh
junegunn,fzf,46000,https://www.github.com/junegunn/fzf
sharkdp,bat,36100,https://www.github.com/sharkdp/bat
sherlock-project,sherlock,34500,https://www.github.com/sherlock-project/sherlock
google,zx,33500,https://www.github.com/google/zx
wagoodman,dive,33000,https://www.github.com/wagoodman/dive
BurntSushi,ripgrep,32400,https://www.github.com/BurntSushi/ripgrep
chubin,cheat.sh,29900,https://www.github.com/chubin/cheat.sh
cli,cli,29400,https://www.github.com/cli/cli
jesseduffield,lazygit,28800,https://www.github.com/jesseduffield/lazygit
spf13,cobra,27900,https://www.github.com/spf13/cobra
angular,angular-cli,25500,https://www.github.com/angular/angular-cli
alebcay,awesome-shell,24300,https://www.github.com/alebcay/awesome-shell
sharkdp,fd,24000,https://www.github.com/sharkdp/fd
n8n-io,n8n,23700,https://www.github.com/n8n-io/n8n
ibraheemdev,modern-unix,23300,https://www.github.com/ibraheemdev/modern-unix
httpie,httpie,22800,https://www.github.com/httpie/httpie
google,python-fire,22800,https://www.github.com/google/python-fire
tqdm,tqdm,22600,https://www.github.com/tqdm/tqdm
vercel,pkg,21600,https://www.github.com/vercel/pkg
avajs,ava,19900,https://www.github.com/avajs/ava
withfig,autocomplete,19600,https://www.github.com/withfig/autocomplete
chalk,chalk,18900,https://www.github.com/chalk/chalk
vadimdemedes,ink,18800,https://www.github.com/vadimdemedes/ink
urfave,cli,18800,https://www.github.com/urfave/cli
svg,svgo,18000,https://www.github.com/svg/svgo
gpakosz,.tmux,17100,https://www.github.com/gpakosz/.tmux
asdf-vm,asdf,15100,https://www.github.com/asdf-vm/asdf
antonmedv,fx,15000,https://www.github.com/antonmedv/fx
allinurl,goaccess,14900,https://www.github.com/allinurl/goaccess
