user_name,Repo_name,star,user_repo_url
vercel,next.js,90500,https://www.github.com/vercel/next.js
rust-lang,rust,70000,https://www.github.com/rust-lang/rust
webpack,webpack,61500,https://www.github.com/webpack/webpack
sveltejs,svelte,61200,https://www.github.com/sveltejs/svelte
gatsbyjs,gatsby,53300,https://www.github.com/gatsbyjs/gatsby
JetBrains,kotlin,42200,https://www.github.com/JetBrains/kotlin
babel,babel,41200,https://www.github.com/babel/babel
parcel-bundler,parcel,41100,https://www.github.com/parcel-bundler/parcel
evanw,esbuild,32700,https://www.github.com/evanw/esbuild
vlang,v,30000,https://www.github.com/vlang/v
markedjs,marked,28000,https://www.github.com/markedjs/marked
carbon-language,carbon-lang,23900,https://www.github.com/carbon-language/carbon-lang
swc-project,swc,23200,https://www.github.com/swc-project/swc
vercel,pkg,21600,https://www.github.com/vercel/pkg
v8,v8,19900,https://www.github.com/v8/v8
ziglang,zig,16600,https://www.github.com/ziglang/zig
AssemblyScript,assemblyscript,14300,https://www.github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13400,https://www.github.com/nim-lang/Nim
Konloch,bytecode-viewer,13100,https://www.github.com/Konloch/bytecode-viewer
RustPython,RustPython,11800,https://www.github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,11300,https://www.github.com/compiler-explorer/compiler-explorer
gopherjs,gopherjs,11200,https://www.github.com/gopherjs/gopherjs
apache,tvm,8400,https://www.github.com/apache/tvm
numba,numba,7700,https://www.github.com/numba/numba
Nuitka,Nuitka,7200,https://www.github.com/Nuitka/Nuitka
JetBrains,kotlin-native,7100,https://www.github.com/JetBrains/kotlin-native
aalhour,awesome-compilers,7000,https://www.github.com/aalhour/awesome-compilers
elm,compiler,6900,https://www.github.com/elm/compiler
DoctorWkt,acwj,6700,https://www.github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5800,https://www.github.com/rescript-lang/rescript-compiler
