user_name,Repo_name,star,user_repo_url
localstack,localstack,42500,https://www.github.com/localstack/localstack
harness,drone,25400,https://www.github.com/harness/drone
jenkinsci,jenkins,19300,https://www.github.com/jenkinsci/jenkins
auchenberg,volkswagen,12400,https://www.github.com/auchenberg/volkswagen
theonedev,onedev,8400,https://www.github.com/theonedev/onedev
openshift,origin,8200,https://www.github.com/openshift/origin
gocd,gocd,6500,https://www.github.com/gocd/gocd
concourse,concourse,6400,https://www.github.com/concourse/concourse
buildbot,buildbot,4900,https://www.github.com/buildbot/buildbot
gaia-pipeline,gaia,4700,https://www.github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://www.github.com/Strider-CD/strider
jenkins-x,jx,4200,https://www.github.com/jenkins-x/jx
ovh,cds,3900,https://www.github.com/ovh/cds
xcpretty,xcpretty,3800,https://www.github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://www.github.com/hygieia/hygieia
iterative,cml,3400,https://www.github.com/iterative/cml
cake-build,cake,3300,https://www.github.com/cake-build/cake
werf,werf,3300,https://www.github.com/werf/werf
JamesIves,github-pages-deploy-action,3100,https://www.github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,3000,https://www.github.com/ligurio/awesome-ci
tox-dev,tox,2900,https://www.github.com/tox-dev/tox
TheLartians,ModernCppStarter,2800,https://www.github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2400,https://www.github.com/dancryer/PHPCI
shivammathur,setup-php,2200,https://www.github.com/shivammathur/setup-php
dreamans,syncd,2100,https://www.github.com/dreamans/syncd
Flagsmith,flagsmith,1800,https://www.github.com/Flagsmith/flagsmith
nuke-build,nuke,1600,https://www.github.com/nuke-build/nuke
lastbackend,lastbackend,1600,https://www.github.com/lastbackend/lastbackend
k1LoW,tbls,1400,https://www.github.com/k1LoW/tbls
FlowCI,flow-core-x,1400,https://www.github.com/FlowCI/flow-core-x
